,Date,PRECIP,DURATION,MAX_5,MAX_10,MAX_15,MAX_30,MAX_60,ENERGY,EI30
,MO/DA/YR,mm,hrs,mm/hr,mm/hr,mm/hr,mm/hr,mm/hr,MJ/ha,MJ*mm/ha*hr
,----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
1/3/2005 0:15,1/3/2005,0.12,0.25,0.96,0.6,0.48,0.24,0.12,0.005,0.001
1/3/2005 16:00,1/3/2005,0.08,0,0.96,0.48,0.32,0.16,0.08,0,0
1/4/2005 4:30,1/4/2005,0.08,0,0.96,0.48,0.32,0.16,0.08,0,0
1/5/2005 3:15,1/5/2005,9.08,7.5,9.68,8.747,8.747,6.773,4.927,1.126,7.63
1/7/2005 17:00,1/7/2005,0.54,2.25,1.033,0.713,0.62,0.493,0.279,0.043,0.021
1/8/2005 1:30,1/8/2005,6.15,9.5,3.105,3.105,3.105,2.671,1.991,0.637,1.701
1/13/2005 21:15,1/13/2005,8.43,5.5,5.094,5.094,5.094,4.293,3.47,1.085,4.659
1/16/2005 19:30,1/16/2005,0.76,4.25,0.913,0.913,0.913,0.79,0.567,0.066,0.052
1/19/2005 11:30,1/19/2005,1.46,6.5,3.302,2.18,1.806,1.292,0.905,0.117,0.151
1/20/2005 1:15,1/20/2005,0.79,1,1.839,1.319,1.146,1.053,0.793,0.067,0.071
1/22/2005 6:30,1/22/2005,15.57,9,7.176,7.176,7.176,7.02,5.898,2.008,14.096
1/24/2005 14:15,1/24/2005,1.25,4.5,1.133,1.133,1.133,0.893,0.875,0.114,0.102
1/30/2005 3:15,1/30/2005,4.24,10.5,2.21,1.663,1.663,1.478,1.228,0.384,0.568
2/3/2005 11:30,2/3/2005,2.24,20.75,1.601,1.601,1.601,1.142,0.768,0.202,0.231
2/8/2005 3:45,2/8/2005,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0
2/9/2005 19:30,2/9/2005,3.89,7.75,3.727,3.727,3.727,3.717,2.502,0.456,1.694
2/12/2005 11:00,2/12/2005,0.05,0.5,0.226,0.167,0.147,0.105,0.05,0.004,0
2/14/2005 0:45,2/14/2005,15.17,20,5.207,5.207,5.207,4.314,3.873,1.669,7.199
2/15/2005 10:00,2/15/2005,0.02,0.25,0.16,0.1,0.08,0.04,0.02,0.001,0
2/16/2005 12:30,2/16/2005,2.06,2.75,3.743,3.743,3.743,2.831,1.66,0.237,0.67
2/17/2005 13:00,2/17/2005,0.13,4,0.208,0.148,0.128,0.071,0.043,0.01,0.001
2/20/2005 13:00,2/20/2005,4.59,14,7.607,7.607,7.607,5.002,3.037,0.61,3.049
2/21/2005 22:45,2/21/2005,0.47,0.5,2.133,1.671,1.517,0.943,0.47,0.038,0.036
2/22/2005 21:45,2/22/2005,0.24,1.75,0.253,0.253,0.253,0.194,0.178,0.019,0.004
2/24/2005 4:15,2/24/2005,10.09,22.25,2.747,2.747,2.747,2.533,2.247,0.994,2.517
2/28/2005 8:45,2/28/2005,4.11,17.5,1.356,1.356,1.356,1.18,1.008,0.371,0.438
3/4/2005 19:00,3/4/2005,0.48,2.75,0.38,0.32,0.32,0.263,0.247,0.04,0.011
3/8/2005 2:45,3/8/2005,7.85,9,2.317,2.317,2.317,2.148,1.775,0.813,1.747
3/11/2005 6:00,3/11/2005,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0
3/11/2005 14:00,3/11/2005,1.47,7.25,2.204,2.204,2.204,1.621,0.944,0.145,0.235
3/12/2005 11:45,3/12/2005,0.43,4.5,0.76,0.76,0.76,0.433,0.252,0.035,0.015
3/19/2005 21:00,3/19/2005,6.88,20,7.59,7.59,7.59,6.899,3.653,0.918,6.332
3/22/2005 22:45,3/22/2005,56.83,16.25,14.263,14.263,14.263,13.698,12.283,9.226,126.374
3/24/2005 0:00,3/24/2005,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0
3/26/2005 1:30,3/26/2005,1.64,5,3.269,3.269,3.269,2.24,1.325,0.18,0.404
3/27/2005 13:15,3/27/2005,6.5,11.5,7.441,7.441,7.441,6.982,4.305,0.88,6.145
3/28/2005 7:00,3/28/2005,35.83,11,21.252,21.252,21.252,13.307,9.335,6.275,83.496
3/30/2005 3:00,3/30/2005,0.2,2.25,0.3,0.18,0.14,0.107,0.105,0.015,0.002
3/30/2005 19:30,3/30/2005,3,8.5,0.474,0.453,0.453,0.45,0.448,0.26,0.117
4/1/2005 19:45,4/1/2005,57.07,29,16.178,16.178,16.178,14.343,12.031,9.134,131.014
4/3/2005 14:45,4/3/2005,1.15,3.25,1.128,1.128,1.128,1.028,0.833,0.104,0.107
4/5/2005 19:30,4/5/2005,1.1,6.75,0.307,0.307,0.307,0.303,0.293,0.093,0.028
4/6/2005 21:30,4/6/2005,0.21,3.25,0.16,0.16,0.16,0.107,0.08,0.017,0.002
4/9/2005 22:00,4/9/2005,0.02,0.25,0.16,0.1,0.08,0.04,0.02,0.001,0
4/10/2005 5:30,4/10/2005,0.15,0.75,1.38,0.72,0.5,0.27,0.15,0.003,0.001
4/11/2005 1:00,4/11/2005,0.21,3,0.17,0.12,0.12,0.113,0.095,0.017,0.002
4/11/2005 23:00,4/11/2005,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0
4/19/2005 16:45,4/19/2005,0.15,0.25,1.633,0.853,0.593,0.3,0.15,0.002,0
4/20/2005 1:45,4/20/2005,0.01,0,0.12,0.06,0.04,0.02,0.01,0,0
4/20/2005 23:15,4/20/2005,0.28,1,0.793,0.623,0.566,0.343,0.283,0.022,0.008
4/21/2005 9:00,4/21/2005,1.13,5.5,0.765,0.638,0.638,0.618,0.538,0.098,0.06
4/21/2005 22:45,4/21/2005,0.01,0,0.12,0.06,0.04,0.02,0.01,0,0
4/22/2005 5:00,4/22/2005,1.28,4.5,1.381,1.381,1.381,1.25,1.062,0.122,0.153
4/22/2005 21:15,4/22/2005,1.93,7.25,1.162,1.162,1.162,0.947,0.699,0.173,0.163
4/23/2005 16:00,4/23/2005,18.34,9.75,52.029,52.029,52.029,29.642,17.492,4.516,133.858
4/24/2005 11:30,4/24/2005,1.23,20.75,2.739,1.54,1.14,0.654,0.409,0.087,0.057
4/25/2005 20:30,4/25/2005,1.2,6.25,0.3,0.26,0.26,0.253,0.233,0.1,0.025
4/26/2005 20:15,4/26/2005,1.35,4.75,1.352,1.352,1.352,1.297,0.761,0.123,0.16
4/28/2005 14:30,4/28/2005,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0
4/29/2005 2:30,4/29/2005,0.12,5.25,0.187,0.187,0.187,0.128,0.088,0.009,0.001
4/30/2005 0:00,4/30/2005,29.41,30.25,7.251,7.251,7.251,6.059,4.776,3.492,21.159
5/2/2005 0:15,5/2/2005,0.26,2.5,0.18,0.18,0.18,0.17,0.157,0.021,0.004
5/2/2005 14:00,5/2/2005,1.26,2.75,2.527,2.527,2.527,1.707,0.973,0.129,0.22
5/3/2005 16:30,5/3/2005,1.54,13,0.393,0.393,0.393,0.35,0.292,0.129,0.045
5/4/2005 20:45,5/4/2005,0.41,3.25,0.413,0.38,0.38,0.363,0.293,0.033,0.012
5/5/2005 21:00,5/5/2005,0.15,2.5,0.2,0.14,0.133,0.113,0.102,0.012,0.001
5/9/2005 20:15,5/9/2005,1.53,8.25,0.42,0.42,0.42,0.417,0.39,0.129,0.054
5/10/2005 20:30,5/10/2005,0.29,3.75,0.413,0.233,0.22,0.207,0.16,0.021,0.004
5/11/2005 20:15,5/11/2005,0.06,0.75,0.2,0.14,0.12,0.087,0.06,0.004,0
5/12/2005 6:00,5/12/2005,0.04,4.5,0.242,0.122,0.082,0.042,0.022,0.002,0
5/14/2005 5:45,5/14/2005,0.07,0.25,0.486,0.325,0.271,0.14,0.07,0.003,0
5/14/2005 19:15,5/14/2005,6.19,7,8.268,8.268,8.268,8.099,5.332,0.969,7.847
5/15/2005 23:00,5/15/2005,2.38,2.25,4.832,4.832,4.832,3.347,1.882,0.292,0.978
5/18/2005 20:30,5/18/2005,0.5,3.75,0.226,0.213,0.213,0.203,0.192,0.041,0.008
5/19/2005 21:00,5/19/2005,34.48,17.5,9.869,9.869,9.869,9.72,8.436,4.73,45.979
5/22/2005 22:45,5/22/2005,0.6,0.75,1.432,1.043,0.913,0.896,0.6,0.05,0.045
5/24/2005 13:45,5/24/2005,14.31,5,18.031,18.031,18.031,13.446,8.028,2.462,33.109
5/25/2005 7:15,5/25/2005,3,2,3.208,3.208,3.208,2.833,1.94,0.331,0.938
5/25/2005 20:45,5/25/2005,0.1,0.25,0.702,0.468,0.39,0.2,0.1,0.005,0.001
6/2/2005 23:15,6/2/2005,18.36,12.5,15.173,15.173,15.173,13.68,10.307,2.976,40.717
6/4/2005 11:15,6/4/2005,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0
6/6/2005 5:30,6/6/2005,0.02,0.25,0.16,0.1,0.08,0.04,0.02,0.001,0
6/6/2005 18:00,6/6/2005,25.3,4,51.36,51.36,51.36,38.8,20.31,6.162,239.102
6/9/2005 19:30,6/9/2005,6.25,1.5,15.347,10.924,9.45,7.795,5.951,0.845,6.59
6/13/2005 18:15,6/13/2005,0.06,0.25,0.513,0.296,0.223,0.12,0.06,0.002,0
6/19/2005 15:45,6/19/2005,0.02,0.25,0.16,0.1,0.08,0.04,0.02,0.001,0
6/22/2005 6:30,6/22/2005,0.44,3.5,0.522,0.484,0.471,0.379,0.287,0.038,0.014
6/22/2005 16:30,6/22/2005,0.01,0,0.12,0.06,0.04,0.02,0.01,0,0
6/27/2005 10:30,6/27/2005,0.79,8.25,0.739,0.739,0.739,0.403,0.229,0.066,0.027
6/28/2005 13:45,6/28/2005,35.18,5.25,43.277,43.277,43.277,36.871,30.724,8.887,327.68
6/29/2005 4:15,6/29/2005,0.04,0.25,0.387,0.217,0.16,0.08,0.04,0.001,0
7/1/2005 22:15,7/1/2005,8.6,0.5,25.119,24.979,24.933,17.203,8.6,2.078,35.752
7/5/2005 12:15,7/5/2005,0.12,0.25,0.777,0.561,0.489,0.24,0.12,0.008,0.002
7/5/2005 20:15,7/5/2005,14.87,3.25,32.771,32.771,32.771,21.436,12.322,3.306,70.867
7/7/2005 16:15,7/7/2005,56.2,17.5,17.617,17.617,17.617,17.302,15.46,10.319,178.541
7/13/2005 19:15,7/13/2005,15.54,0.75,57.429,49.475,46.824,30.738,15.54,3.773,115.968
7/14/2005 12:30,7/14/2005,4.8,7.25,5.359,5.359,5.359,3.357,2.589,0.576,1.935
7/15/2005 2:00,7/15/2005,8.41,3,10.054,9.19,8.902,7.658,4.419,1.169,8.951
7/15/2005 15:45,7/15/2005,0.64,8,0.792,0.792,0.792,0.413,0.223,0.053,0.022
7/16/2005 8:45,7/16/2005,28.26,15.75,19.345,19.345,19.345,14.212,9.682,5.308,75.432
7/19/2005 17:00,7/19/2005,0.1,0.25,1.087,0.587,0.42,0.2,0.1,0.002,0
7/21/2005 15:15,7/21/2005,0.22,2.5,0.94,0.49,0.34,0.19,0.115,0.012,0.002
7/22/2005 23:45,7/22/2005,0.3,0.5,1.085,0.966,0.926,0.606,0.3,0.026,0.016
7/24/2005 23:15,7/24/2005,14.31,6.5,38.844,38.844,38.844,21.837,11.327,3.212,70.148
7/27/2005 17:15,7/27/2005,5.18,2,9.831,9.803,9.794,7.225,4.635,0.833,6.016
7/29/2005 12:30,7/29/2005,1.11,2,2.32,2.32,2.32,1.3,0.778,0.114,0.148
8/3/2005 14:15,8/3/2005,0.02,0.25,0.16,0.1,0.08,0.04,0.02,0.001,0
8/5/2005 18:00,8/5/2005,15.41,10,27.491,27.491,27.491,22.157,14.228,3.506,77.691
8/6/2005 19:00,8/6/2005,0.3,10.5,0.36,0.36,0.36,0.32,0.227,0.024,0.008
8/7/2005 11:30,8/7/2005,0.08,0.75,0.7,0.37,0.26,0.15,0.08,0.002,0
8/8/2005 14:00,8/8/2005,6.73,24.25,2.72,2.72,2.72,2.41,1.482,0.66,1.59
8/10/2005 22:30,8/10/2005,0.04,5.25,0.244,0.124,0.084,0.044,0.024,0.002,0
8/11/2005 13:00,8/11/2005,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0
8/12/2005 1:30,8/12/2005,0.01,0,0.12,0.06,0.04,0.02,0.01,0,0
8/14/2005 22:30,8/14/2005,0.07,1.5,0.19,0.14,0.14,0.09,0.05,0.005,0
8/15/2005 14:15,8/15/2005,7.39,23,9.237,9.237,9.237,8.867,5.511,1.129,10.012
8/16/2005 22:15,8/16/2005,0.18,4.25,0.32,0.2,0.16,0.12,0.07,0.013,0.002
8/17/2005 20:00,8/17/2005,3.43,9,3.9,3.9,3.9,3.325,2.413,0.392,1.304
8/18/2005 20:30,8/18/2005,0.02,0.25,0.16,0.1,0.08,0.04,0.02,0.001,0
8/19/2005 3:15,8/19/2005,4.81,9,5.359,5.359,5.359,4.097,2.715,0.56,2.296
8/20/2005 20:45,8/20/2005,0.03,0.25,0.2,0.14,0.12,0.06,0.03,0.002,0
8/21/2005 5:30,8/21/2005,0.25,0.75,0.88,0.46,0.34,0.34,0.25,0.016,0.005
8/21/2005 19:45,8/21/2005,2.3,6.75,2.367,2.367,2.367,1.81,1.515,0.227,0.411
8/22/2005 19:45,8/22/2005,0.49,11.5,0.24,0.18,0.16,0.1,0.082,0.04,0.004
8/23/2005 20:00,8/23/2005,0.55,4.25,0.226,0.2,0.2,0.197,0.177,0.045,0.009
8/24/2005 10:30,8/24/2005,1.66,38.5,1.447,1.447,1.447,0.763,0.433,0.145,0.11
8/26/2005 23:00,8/26/2005,2.85,12.75,2.778,2.778,2.778,2.315,1.932,0.299,0.692
8/27/2005 17:45,8/27/2005,16.21,13.5,17.3,17.3,17.3,11.308,9.625,2.873,32.488
8/28/2005 19:45,8/28/2005,1.59,9.75,0.649,0.533,0.533,0.467,0.381,0.134,0.063
8/29/2005 20:15,8/29/2005,0.13,3.25,0.24,0.18,0.16,0.12,0.082,0.01,0.001
8/30/2005 20:15,8/30/2005,0.16,0.5,0.739,0.57,0.513,0.317,0.16,0.011,0.004
8/31/2005 19:45,8/31/2005,0.77,7.5,0.286,0.207,0.18,0.14,0.127,0.063,0.009
9/1/2005 19:15,9/1/2005,2.09,11.5,0.36,0.36,0.36,0.35,0.333,0.177,0.062
9/2/2005 19:15,9/2/2005,0.58,11,0.18,0.16,0.16,0.157,0.148,0.047,0.007
9/3/2005 15:45,9/3/2005,3.44,34,0.353,0.353,0.353,0.35,0.337,0.293,0.102
9/5/2005 11:45,9/5/2005,0.62,12.5,0.36,0.2,0.193,0.187,0.16,0.05,0.009
9/6/2005 11:45,9/6/2005,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0
9/6/2005 19:30,9/6/2005,0.37,6,0.303,0.195,0.159,0.146,0.12,0.029,0.004
9/7/2005 19:30,9/7/2005,0.29,5.25,0.306,0.217,0.187,0.153,0.118,0.023,0.003
9/8/2005 19:30,9/8/2005,1.38,6.5,1.787,1.787,1.787,1.193,0.675,0.129,0.153
9/9/2005 19:30,9/9/2005,1.54,9.25,0.573,0.383,0.347,0.33,0.295,0.128,0.042
9/10/2005 19:00,9/10/2005,1.56,8,0.43,0.43,0.43,0.43,0.43,0.132,0.057
9/11/2005 19:30,9/11/2005,0.38,3.5,0.413,0.293,0.253,0.207,0.178,0.03,0.006
9/12/2005 20:00,9/12/2005,0.24,7,0.14,0.127,0.127,0.1,0.08,0.019,0.002
9/13/2005 13:30,9/13/2005,0.35,10.25,0.16,0.127,0.127,0.107,0.091,0.028,0.003
9/14/2005 9:15,9/14/2005,0.63,0.5,4.221,2.87,2.42,1.268,0.63,0.042,0.054
9/14/2005 20:00,9/14/2005,0.45,5,0.464,0.29,0.232,0.174,0.158,0.035,0.006
9/15/2005 19:30,9/15/2005,2.19,10.75,0.776,0.506,0.416,0.381,0.364,0.184,0.07
9/21/2005 14:30,9/21/2005,2.57,13.5,0.48,0.48,0.48,0.46,0.447,0.221,0.102
9/23/2005 19:15,9/23/2005,3.68,28.5,0.713,0.713,0.713,0.683,0.62,0.323,0.221
9/26/2005 14:00,9/26/2005,2.74,12.5,1.824,1.824,1.824,1.414,1.231,0.263,0.372
9/27/2005 18:45,9/27/2005,3.08,13.5,0.527,0.527,0.527,0.483,0.462,0.267,0.129
9/30/2005 19:30,9/30/2005,0.4,7,0.25,0.16,0.133,0.12,0.098,0.032,0.004
10/1/2005 20:45,10/1/2005,0.23,6.75,0.26,0.14,0.1,0.07,0.065,0.017,0.001
10/2/2005 13:00,10/2/2005,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0
10/2/2005 19:15,10/2/2005,1.5,11.5,0.28,0.253,0.253,0.23,0.203,0.124,0.028
10/3/2005 13:00,10/3/2005,1.26,13.25,0.26,0.26,0.26,0.257,0.232,0.105,0.027
10/4/2005 21:15,10/4/2005,0.11,1.75,0.173,0.113,0.093,0.09,0.077,0.008,0.001
10/5/2005 19:15,10/5/2005,1.1,13.5,0.352,0.352,0.352,0.211,0.17,0.091,0.019
10/7/2005 3:00,10/7/2005,228.5,39.25,31.533,31.533,31.533,23.833,19.727,47.829,1139.924
10/9/2005 18:45,10/9/2005,0.94,8,0.54,0.39,0.34,0.3,0.262,0.076,0.023
10/10/2005 20:00,10/10/2005,1.46,12,1.241,1.241,1.241,1.206,0.858,0.133,0.16
10/11/2005 14:30,10/11/2005,0.27,9.75,0.165,0.156,0.156,0.14,0.126,0.022,0.003
10/12/2005 7:45,10/12/2005,0.08,0.25,0.64,0.4,0.32,0.16,0.08,0.003,0.001
10/12/2005 18:45,10/12/2005,1.91,30.75,0.64,0.64,0.64,0.48,0.283,0.158,0.076
10/14/2005 19:00,10/14/2005,3.97,10.25,0.912,0.912,0.912,0.901,0.832,0.355,0.32
10/15/2005 18:30,10/15/2005,0.61,8.25,0.173,0.173,0.173,0.167,0.155,0.05,0.008
10/16/2005 23:45,10/16/2005,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0
10/17/2005 18:30,10/17/2005,0.99,10.25,0.56,0.38,0.32,0.26,0.2,0.08,0.021
10/18/2005 22:15,10/18/2005,0.7,5,0.313,0.313,0.313,0.3,0.285,0.058,0.017
10/19/2005 23:45,10/19/2005,0.2,4.75,0.286,0.227,0.207,0.123,0.065,0.015,0.002
10/20/2005 13:30,10/20/2005,7,22,2.416,2.416,2.416,2.269,1.426,0.665,1.51
10/21/2005 20:45,10/21/2005,18.67,11,13.213,13.213,13.213,10.898,9.208,3.149,34.317
10/22/2005 16:45,10/22/2005,3.46,3,3.933,3.933,3.933,3.147,1.984,0.395,1.242
10/23/2005 18:15,10/23/2005,8.93,10.75,3.739,3.739,3.739,3.315,2.712,0.928,3.075
10/24/2005 17:15,10/24/2005,28.75,31,8.37,8.37,8.37,7.831,4.866,3.673,28.764
10/26/2005 18:30,10/26/2005,4.1,11.5,1.12,1.12,1.12,1.067,1.027,0.38,0.405
10/27/2005 18:45,10/27/2005,0.72,10,0.213,0.2,0.2,0.163,0.152,0.059,0.01
10/28/2005 18:15,10/28/2005,3.22,10,0.513,0.513,0.513,0.497,0.482,0.279,0.138
10/29/2005 18:15,10/29/2005,0.52,6.5,0.161,0.14,0.14,0.12,0.115,0.042,0.005
10/30/2005 18:30,10/30/2005,0.51,5.75,0.16,0.127,0.127,0.12,0.12,0.042,0.005
11/2/2005 0:00,11/2/2005,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0
11/5/2005 18:45,11/5/2005,0.65,5.5,0.24,0.2,0.2,0.197,0.172,0.053,0.01
11/6/2005 18:30,11/6/2005,2.84,1.5,4.988,4.988,4.988,3.178,2.273,0.337,1.07
11/7/2005 18:00,11/7/2005,0.34,2.75,0.264,0.192,0.187,0.173,0.147,0.028,0.005
11/8/2005 18:45,11/8/2005,2,8.75,2.24,2.013,1.938,1.589,1.043,0.183,0.291
11/9/2005 10:45,11/9/2005,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0
11/10/2005 0:00,11/10/2005,0.04,0.25,0.36,0.2,0.147,0.08,0.04,0.001,0
11/10/2005 18:00,11/10/2005,0.06,1.25,0.256,0.136,0.096,0.057,0.05,0.003,0
11/11/2005 17:45,11/11/2005,0.56,7.75,0.192,0.132,0.12,0.117,0.115,0.046,0.005
11/13/2005 23:00,11/13/2005,0.18,2.25,0.24,0.18,0.16,0.127,0.115,0.014,0.002
11/14/2005 16:45,11/14/2005,1.11,10.5,2.368,2.368,2.368,1.258,0.703,0.109,0.138
11/16/2005 13:45,11/16/2005,19.45,8.5,11.342,11.342,11.342,8.914,7.63,3.008,26.812
11/21/2005 12:45,11/21/2005,27.6,22.5,5.695,5.695,5.695,5.062,3.94,3.28,16.605
11/22/2005 18:30,11/22/2005,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0
11/23/2005 18:15,11/23/2005,1.31,7.5,0.673,0.673,0.673,0.613,0.488,0.113,0.069
11/24/2005 13:15,11/24/2005,0.24,1.75,0.525,0.32,0.32,0.293,0.169,0.017,0.005
11/27/2005 19:15,11/27/2005,0.53,1,1.573,1.573,1.573,0.943,0.53,0.052,0.049
11/28/2005 4:30,11/28/2005,0.22,0.75,1.152,0.72,0.576,0.368,0.22,0.013,0.005
11/28/2005 22:15,11/28/2005,0.25,0,3,1.5,1,0.5,0.25,0,0
11/29/2005 11:45,11/29/2005,16.01,11.5,11.575,11.575,11.575,10.154,7.145,2.681,27.222
11/30/2005 18:00,11/30/2005,0.03,0.25,0.2,0.14,0.12,0.06,0.03,0.002,0
12/1/2005 19:30,12/1/2005,0.3,1.5,0.527,0.527,0.527,0.38,0.275,0.025,0.009
12/2/2005 8:45,12/2/2005,0.22,3.5,0.207,0.147,0.147,0.12,0.088,0.017,0.002
12/3/2005 22:30,12/3/2005,6.66,7.25,2.965,2.965,2.965,2.548,1.922,0.683,1.741
12/5/2005 13:00,12/5/2005,5.2,15.25,1.587,1.587,1.587,1.551,1.403,0.487,0.756
12/9/2005 0:30,12/9/2005,20.89,6.75,22.209,22.209,22.209,17.244,9.95,3.502,60.392
12/11/2005 18:15,12/11/2005,0.06,0.5,0.26,0.2,0.18,0.114,0.06,0.004,0
12/15/2005 9:00,12/15/2005,38.85,17.5,13.319,13.319,13.319,10.467,8.915,5.749,60.176
12/19/2005 6:15,12/19/2005,0.06,0.5,0.373,0.213,0.16,0.11,0.06,0.002,0
12/25/2005 8:15,12/25/2005,20.38,8.5,16.249,16.249,16.249,15.738,9.812,3.663,57.652
12/26/2005 3:30,12/26/2005,0.88,2.25,1.391,1.391,1.391,0.902,0.731,0.082,0.074
12/26/2005 13:15,12/26/2005,0.33,0.5,1.532,1.174,1.054,0.663,0.33,0.025,0.017
